id,img,name,address,rank,region,followers,capacity
237,/images/clubs/uk-fabric.jpg,fabric,77a Charterhouse St; Clerkenwell; London EC1M 6HJ; United Kingdom,0,/guide/uk/london,17902,1600
74592,/images/clubs/studio-338.jpg,Studio 338,338 Boord Street; Greenwich; London SE10 0PF; United Kingdom,1,/guide/uk/london,10542,0
127337,/images/clubs/uk-printworks(1).jpg,Printworks,"1 Surrey Quays Road, London, SE16 7PJ, United Kingdom",2,/guide/uk/london,9902,0
874,/images/clubs/egglogo312x210.jpg,Egg London,200 York Way; Kings Cross; London N7 9AP; United Kingdom,3,/guide/uk/london,7762,900
2587,/images/clubs/cs.jpg,Corsica Studios,5 Farrell Court; Elephant & Castle; London SE17 1LB; United Kingdom,4,/guide/uk/london,7484,350
33592,/images/clubs/xoyologo.jpg,XOYO,32-37 Cowper Street; Shoreditch; London EC2A 4AP; United Kingdom,5,/guide/uk/london,6121,0
725,,Ministry Of Sound,"103 Gaunt Street, Elephant & Castle, London, SE1 6DP, United Kingdom",6,/guide/uk/london,6032,0
4567,/images/clubs/villageunderground_logo.jpg,Village Underground, 54 Holywell Lane; Shoreditch; London EC2A 3PQ; United Kingdom,7,/guide/uk/london,5443,720
1273,/images/clubs/es-dc-10.jpg,DC-10,"PM-802, Sant Josep de sa Talaia, Ibiza Spain",0,/guide/es/ibiza,4754,1500
764,/images/clubs/amnesia-ibiza.jpg,Amnesia,"Ctra. Ibiza a San Antonio, Km 5, 07816 San Rafael, Ibiza",1,/guide/es/ibiza,3717,0
2201,/images/clubs/logomarcapacha.jpg,Pacha Ibiza,"Avenida 8 De Agosto, Ibiza Town, 07800 Ibiza, Islas Baleares, Spain",2,/guide/es/ibiza,1899,3000
21544,/images/clubs/ushuaiaibizabeachhotel.jpg,Ushuaïa Beach Hotel,"Playa d'en Bossa 10, Sat Jordi de Ses Salines, 07817 Ibiza, Spain",3,/guide/es/ibiza,1264,0
763,/images/clubs/2_n.jpg,Eden,"Carrer Salvador Espriu, 07820 San Antonio, Ibiza, Spain",4,/guide/es/ibiza,182,5000
92050,/images/clubs/es-covasanta.jpg,Cova Santa,"Ctra. San Jose, km 7, 07817 Ibiza, Spain",5,/guide/es/ibiza,155,0
169808,/images/clubs/es-octan-logo.jpg,Octan Ibiza,"Carrer de les Alzines, 13, 07800 Eivissa, Illes Balears, Spain",6,/guide/es/ibiza,141,0
65750,/images/clubs/pikeslogo2017(1).jpg,Pikes Ibiza,"Camí Sa Vorera, S/N, 07820 Sant Antoni de Portmany, Illes Balears, España",7,/guide/es/ibiza,124,0
183320,/images/clubs/stream-land-flag.jpg,Livestream,The Internet,0,/guide/streamland,184,0
5031,/images/clubs/de-berghain.jpg,Berghain | Panorama Bar | Säule,70 Am Wriezener Bahnhof; Friedrichshain; 10243 Berlin; Germany,0,/guide/de/berlin,25209,1500
28354,/images/clubs/de-about-blank.jpg,://about blank,Markgrafendamm 24c; Friedrichshain; 10245 Berlin; Germany,1,/guide/de/berlin,8166,0
8556,/images/clubs/de-salonrenate.jpg,Salon Zur Wilden Renate,Alt Stralau 70; Friedrichshain; 10245 Berlin; Germany,2,/guide/de/berlin,5636,0
6950,/images/clubs/de-ritterbutzke.jpg,Ritter Butzke,Ritterstrasse 26; Kreuzberg; 10969 Berlin; Germany,3,/guide/de/berlin,5037,0
99161,/images/clubs/de-kater-blau-berlin.jpg,Kater Blau,"Holzmarktstrasse 25, 10243 Berlin",4,/guide/de/berlin,3918,600
17071,/images/clubs/logore2.jpg,Suicide Club,Revaler Strasse 99; Friedrichshain; 10245 Berlin; Germany,5,/guide/de/berlin,3768,0
10546,/images/clubs/de-kitkatklub.jpg,KitKatClub,Köpenicker Strasse 76; Mitte; 10179 Berlin; Germany,6,/guide/de/berlin,1916,0
104289,/images/clubs/de-birgitundbier.jpg,Birgit,"Schleusenufer 3, 10997 Berlin",7,/guide/de/berlin,910,0
112491,/images/clubs/deschool.jpg,De School,Doctor Jan van Breemenstraat 1; 1056 AB Amsterdam,0,/guide/nl/amsterdam,3219,700
94941,/images/clubs/marktkantine-small.jpg,De Marktkantine,"Jan van Galenstraat 6, 1051 KM Amsterdam, The Netherlands",1,/guide/nl/amsterdam,1298,1200
2693,/images/clubs/melkweg.jpg,Melkweg,"Lijnbaansgracht 234/a, 1017 Binnenstad, Amsterdam",2,/guide/nl/amsterdam,1123,1500
109027,/images/clubs/thuishavem.jpg,Thuishaven,"Contactweg 68, 1014BW, Amsterdam, Nederland",3,/guide/nl/amsterdam,978,1000
4859,/images/clubs/ndsm.jpg,NDSM Docklands,"Kinetisch Noord, Tt. Neveritaweg 15; 1033 Amsterdam-Noord; Amsterdam; Netherlands",4,/guide/nl/amsterdam,543,5000
10632,/images/clubs/nl-woodstock69.jpg,Woodstock'69,"Zeeweg 7, 2051 EB Overveen, Netherlands",5,/guide/nl/amsterdam,459,2000
1729,/images/clubs/panama.jpg,Panama,Oostelijke Handelskade 4; 1019 Zeeburg; Amsterdam; Netherlands,6,/guide/nl/amsterdam,232,1050
108549,/images/clubs/bret.jpg,BRET,"Orlyplein 76, 1043 DP Amsterdam, Netherlands",7,/guide/nl/amsterdam,168,400
105938,/images/clubs/miragelogo4.10.18.jpg,Brooklyn Mirage,"140 Stewart Avenue, Brooklyn, NY 11237",0,/guide/us/newyork,3365,0
139960,/images/clubs/us-elsewhere2.jpg,Elsewhere,"599 Johnson Ave, Brooklyn, NY 11237",1,/guide/us/newyork,1543,0
21488,/images/clubs/10505260_680177645395027_7105822374411656941_o-(1).jpg,House Of Yes,"2 Wyckoff Ave; Brooklyn, NY 11237; USA",2,/guide/us/newyork,1416,475
36873,/images/clubs/us-ny-lebain.jpg,Le Bain,"848 Washington Street; New York, NY 10014; United States",3,/guide/us/newyork,1141,0
141127,/images/clubs/ag-ra.jpg,Avant Gardner,"140 Stewart Ave, 11237 New York, New York",4,/guide/us/newyork,1085,6000
116788,,Quantum,"177 2nd Ave, Brooklyn, NY 11215",5,/guide/us/newyork,563,450
69401,,Knockdown Center,"52-19 Flushing Ave., Queens, NY",6,/guide/us/newyork,540,0
11796,/images/clubs/lepoissonrouge-logo.jpg,Le Poisson Rouge,"158 Bleecker Street; New York, NY 10012; United States",7,/guide/us/newyork,466,0
911,/images/clubs/es-razzmatazz.jpg,Razzmatazz,C Almogavers 122 - C Pamplona 88; Barcelona; Spain,0,/guide/es/barcelona,2107,3000
2072,/images/clubs/es-nitsaclub.jpg,Nitsa,"Carrer Nou de la Rambla, 113; 08004 Barcelona; Spain",1,/guide/es/barcelona,1539,0
26873,/images/clubs/logo-input.jpg,INPUT High Fidelity Dance Club,"Avenida de Francesc Ferrer i Guàrdia, 13-27; 08038 Barcelona; Spain",2,/guide/es/barcelona,1464,1500
3760,/images/clubs/es-laterrrazza.jpg,La Terrrazza,"Avinguda Francesc Ferrer i Guardia, 13, 08038",3,/guide/es/barcelona,1140,0
99811,,Plaza Mayor de El Poble Espanyol,"Avda. Francesc Ferrer i Guardia, 13 08038 Barcelona",4,/guide/es/barcelona,692,5000
5503,,Parc Del Forum,"Rambla Prim, 2-4; 08019 Barcelona; Spain",5,/guide/es/barcelona,598,0
2071,/images/clubs/es-pachabarcelona-logo.jpg,Pacha Barcelona,"Passeig Marítim de la Barceloneta 38, 08003, Barcelona, Spain",6,/guide/es/barcelona,560,0
123997,/images/clubs/red58logo.jpg,RED58,"Consell De Cent, 280 - 08007. Barcelona Sp.",7,/guide/es/barcelona,407,250
102679,/images/clubs/screenshot2019-07-22at13.54.30_30(1)(1).jpg,Patterns,"10 Marine Parade, BN2 1TL, Brighton, United Kingdom",0,/guide/uk/southeast,415,0
